Designator,Mid X,Mid Y,Rotation,Layer
CONN1,167.0,-74.0,180.0,bottom
D1,50.0,-137.0,180.0,bottom
D10,88.0,-112.0,180.0,bottom
D11,88.0,-93.0,180.0,bottom
D12,88.0,-74.0,180.0,bottom
D13,107.0,-128.0,180.0,bottom
D14,107.0,-109.0,180.0,bottom
D15,107.0,-90.0,180.0,bottom
D16,107.0,-71.0,180.0,bottom
D17,126.0,-132.0,180.0,bottom
D18,126.0,-113.0,180.0,bottom
D19,126.0,-94.0,180.0,bottom
D2,50.0,-118.0,180.0,bottom
D20,126.0,-75.0,180.0,bottom
D21,145.0,-135.0,180.0,bottom
D22,145.0,-116.0,180.0,bottom
D23,145.0,-97.0,180.0,bottom
D24,145.0,-78.0,180.0,bottom
D25,106.5,-139.5,180.0,bottom
D26,125.5,-138.5,180.0,bottom
D27,148.22129,-140.825571,190.0,bottom
D28,169.874893,-146.914679,198.0,bottom
D29,166.5,-113.4,180.0,bottom
D3,50.0,-99.0,180.0,bottom
D4,50.0,-80.0,180.0,bottom
D5,69.0,-137.0,180.0,bottom
D6,69.0,-118.0,180.0,bottom
D7,69.0,-99.0,180.0,bottom
D8,69.0,-80.0,180.0,bottom
D9,88.0,-131.0,180.0,bottom
H1,60.0,-79.0,0.0,top
H11,159.0,-110.0,0.0,top
H12,175.0,-110.0,0.0,top
H2,60.0,-117.0,0.0,top
H3,136.0,-74.0,0.0,top
H4,136.0,-112.0,0.0,top
H5,158.937608,-137.638014,350.0,top
JST1,170.6,-106.5,270.0,top
PAD1,167.0,-65.0,0.0,top
PWR1,175.5,-133.0,180.0,bottom
RE1,166.25,-121.4,270.0,top
RE2,105.5,-148.55,0.0,top
RST1,175.0,-143.0,270.0,bottom
